name,price,old_price,discount,rating,reviews,product_url,image_url,specifications
i12 Tws Touch Sensor Airpods,"Rs1,049","Rs1,700",38% OFF,4.6,57,https://priceoye.pk/wireless-earbuds/assorted/i12-tws-touch-sensor-airpods,https://images.priceoye.pk/i12-tws-touch-sensor-airpods-pakistan-priceoye-9ypoa-100x100.webp,"{'General Features - Noise Cancellation': 'No', 'General Features - Water Resistant': 'Yes', 'General Features - Charging Interface': 'Micro', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android IOS & Windows', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'N/A', 'Connectivity - Bluetooth Version': '5.1', 'Connectivity - Bluetooth Range': '10m', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': 'N/A', 'Battery - Capacity for Case': 'N/A', 'Battery - Playtime': '2-3 Hrs', 'Battery - Charging Time': '1.5 Hrs'}"
Redmi Buds 6 Active Wireless Earbuds,"Rs4,799","Rs7,399",35% OFF,4.9,34,https://priceoye.pk/wireless-earbuds/xiaomi/redmi-buds-6-active-wireless-earbuds,https://images.priceoye.pk/redmi-buds-6-active-wireless-earbuds-pakistan-priceoye-h6kkk-100x100.webp,"{'General Features - Noise Cancellation': 'Dual-mic noise reduction', 'General Features - Water Resistant': 'IPX4', 'General Features - Charging Interface': 'Type-C', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android IOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': '10mm', 'Connectivity - Bluetooth Version': '5.4', 'Connectivity - Bluetooth Range': '10m', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': '30 mAh', 'Battery - Capacity for Case': 'N/A', 'Battery - Playtime': '1-3 Hrs', 'Battery - Charging Time': '1.5 Hrs'}"
Audionic Trance Airbud 850 with 6 Mics ANC,"Rs8,899","Rs20,999",58% OFF,5,4,https://priceoye.pk/wireless-earbuds/audionic/audionic-trance-airbud-850-earbuds,https://images.priceoye.pk/audionic-trance-airbud-850-earbuds-pakistan-priceoye-7qb8g-100x100.webp,"{'General Features - Noise Cancellation': 'ANC', 'General Features - Water Resistant': 'IPX5', 'General Features - Charging Interface': 'C-Type', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android / IOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': '13mm', 'Connectivity - Bluetooth Version': 'V5.4', 'Connectivity - Bluetooth Range': '10M / 30FT', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': '55 mAh', 'Battery - Capacity for Case': '500mAh', 'Battery - Playtime': '5-6 Hours', 'Battery - Charging Time': '2 Hours'}"
Audionic Battlebuds Wireless Earbuds,"Rs4,399","Rs9,999",56% OFF,4.9,9,https://priceoye.pk/wireless-earbuds/audionic/audionic-battlebuds-wireless-earbuds,https://images.priceoye.pk/audionic-battlebuds-wireless-earbuds-pakistan-priceoye-w8x8x-100x100.webp,"{'General Features - Noise Cancellation': 'ENC', 'General Features - Water Resistant': 'Yes', 'General Features - Charging Interface': 'Type-C', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android IOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': '13mm', 'Connectivity - Bluetooth Version': '5.4', 'Connectivity - Bluetooth Range': '10m', 'Connectivity - Microphone': 'N/A', 'Battery - Capacity for buds': '35mAh', 'Battery - Capacity for Case': '400mAh', 'Battery - Playtime': '3-4 Hrs', 'Battery - Charging Time': '1.5 Hrs'}"
Ronin R-7080 NOX Earbuds,"Rs5,949","Rs10,050",41% OFF,5,2,https://priceoye.pk/wireless-earbuds/ronin/ronin-r-7080-nox-earbuds,https://images.priceoye.pk/ronin-r-7080-nox-earbuds-pakistan-priceoye-1g7wy-100x100.webp,"{'General Features - Noise Cancellation': 'Yes', 'General Features - Water Resistant': 'IPX4', 'General Features - Charging Interface': 'C-Type', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android / IOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': '10mm', 'Connectivity - Bluetooth Version': 'V5.4', 'Connectivity - Bluetooth Range': '10M / 30FT', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': '40mAh', 'Battery - Capacity for Case': '400mAh', 'Battery - Playtime': '4-5 Hours', 'Battery - Charging Time': '1.5 hours'}"
Zero Wave Pro Earbuds,"Rs4,949","Rs14,999",67% OFF,4.9,32,https://priceoye.pk/wireless-earbuds/zero/zero-wave-pro-earbuds,https://images.priceoye.pk/zero-wave-pro-earbuds-pakistan-priceoye-6j8v0-100x100.webp,"{'General Features - Noise Cancellation': 'ENC', 'General Features - Water Resistant': 'IPX5', 'General Features - Charging Interface': 'Type-C', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android IOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': '10mm', 'Connectivity - Bluetooth Version': '5.3', 'Connectivity - Bluetooth Range': '10m', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': '30 mAh', 'Battery - Capacity for Case': 'N/A', 'Battery - Playtime': '3-4 Hrs', 'Battery - Charging Time': '1.5 Hrs'}"
Anker Soundcore Space One Headphones,"Rs19,799","Rs34,000",42% OFF,4.8,5,https://priceoye.pk/wireless-earbuds/anker/anker-soundcore-space-one-headphones,https://images.priceoye.pk/anker-soundcore-space-one-headphones-pakistan-priceoye-ald7b-100x100.webp,"{'General Features - Noise Cancellation': 'ANC', 'General Features - Water Resistant': 'Yes', 'General Features - Charging Interface': 'Type-C', 'General Features - Auto Pairing': 'NO', 'General Features - Compatibility': 'Android 5.0 iOS 9.0 and above', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'NA', 'Connectivity - Bluetooth Version': '5.3', 'Connectivity - Bluetooth Range': 'Up to 10m', 'Connectivity - Microphone': 'Dual', 'Battery - Capacity for buds': 'NA', 'Battery - Capacity for Case': 'NA', 'Battery - Playtime': '55Hrs', 'Battery - Charging Time': '2Hrs'}"
QCY MeloBuds Neo T31,"Rs3,999","Rs9,000",56% OFF,N/A,N/A,https://priceoye.pk/wireless-earbuds/qcy/qcy-melobuds-neo-t31,https://images.priceoye.pk/qcy-melobuds-neo-t31-pakistan-priceoye-6g9t6-100x100.webp,"{'General Features - Noise Cancellation': 'N/A', 'General Features - Water Resistant': 'IPX5', 'General Features - Charging Interface': 'N/A', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android IOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': '10mm', 'Connectivity - Bluetooth Version': '5.3', 'Connectivity - Bluetooth Range': '10m', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': 'N/A', 'Battery - Capacity for Case': '400mAh', 'Battery - Playtime': '3-4 Hrs', 'Battery - Charging Time': '1-2 Hours'}"
M30 TWS Wireless Earbuds,"Rs1,199","Rs2,499",52% OFF,4.7,191,https://priceoye.pk/wireless-earbuds/assorted/m30-tws-wireless-earbuds,https://images.priceoye.pk/m30-tws-wireless-earbuds-pakistan-priceoye-ttyc1-100x100.webp,"{'General Features - Noise Cancellation': 'No', 'General Features - Water Resistant': 'IP67', 'General Features - Charging Interface': 'Micro', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android IOS & Windows', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'N/A', 'Connectivity - Bluetooth Version': '5.2', 'Connectivity - Bluetooth Range': '20Hz - 20,000Hz', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': '50mAh', 'Battery - Capacity for Case': '2000mAh', 'Battery - Playtime': '3-4 Hrs', 'Battery - Charging Time': '1.5 Hrs'}"
Audionic Airbud 625 Pro Wireless Earbuds,"Rs3,699","Rs8,749",58% OFF,4.8,77,https://priceoye.pk/wireless-earbuds/audionic/audionic-airbud-625-pro-wireless-earbuds,https://images.priceoye.pk/audionic-airbud-625-pro-wireless-earbuds-pakistan-priceoye-p02u9-100x100.webp,"{'General Features - Noise Cancellation': 'Yes', 'General Features - Water Resistant': 'IPX5', 'General Features - Charging Interface': 'USB-C', 'General Features - Auto Pairing': 'No', 'General Features - Compatibility': 'Android & iOS', 'General Features - Mic': 'Quad Mic', 'General Features - Driver Size': '13mm', 'Connectivity - Bluetooth Version': 'v5.3', 'Connectivity - Bluetooth Range': '10m', 'Connectivity - Microphone': 'Quad Mic ENC Function', 'Battery - Capacity for buds': '35mAh', 'Battery - Capacity for Case': '320mAh', 'Battery - Playtime': '30 hours', 'Battery - Charging Time': '30-45 minutes earbuds, 1.5 hours case'}"
